rxns	kcats	EC_Numbers
r_0528	394	EC2.7.4.8
r_0529	394	EC2.7.4.8
r_0530	25.6;25.6	EC1.18.1.6;EC1.18.1.6
r_0531	3.3	EC2.5.1.-
r_0532	7	EC2.7.-.- EC1.14.13.- EC2.1.1.201 EC2.1.1.64 EC2.1.1.114
r_0533	62.3;62.3;62.3	EC2.7.1.1;EC2.7.1.1;EC2.7.1.1
r_0534	1.67;1492;1.67;1.67	EC2.7.1.1;EC2.7.1.2;EC2.7.1.1;EC2.7.1.1
r_0535	62.3;62.3;62.3	EC2.7.1.1;EC2.7.1.1;EC2.7.1.1
r_0536	35	EC3.5.4.19 EC3.6.1.31 EC1.1.1.23
r_0537	2140	EC3.1.3.15
r_0538	3100	EC2.6.1.9
r_0539	40	EC6.1.1.21
r_0540	40	EC6.1.1.21
r_0541	7	EC2.1.1.-
r_0542	0.75;2.5	EC4.2.1.-;EC4.2.1.36
r_0543	0.617;0.617	EC2.3.3.14;EC2.3.3.14
r_0544	0.38;0.38	EC2.1.1.10;EC2.1.1.10
r_0545	17	EC1.1.1.87
r_0546	22.58	EC1.1.1.3
r_0547	22.58	EC1.1.1.3
r_0548	40.8	EC2.7.1.39
r_0549	9.6	EC2.3.1.31
r_0550	957;957	EC1.11.1.15;EC1.11.1.15
r_0551	957	EC1.11.1.15
r_0552	957;957	EC1.11.1.15;EC1.11.1.15
r_0553	979	EC3.1.2.6
r_0554	979	EC3.1.2.6
r_0555	0.0075857	EC2.5.1.39
r_0556	4.1517	EC2.5.1.3 EC2.7.1.50
r_0557	0.0625	EC2.5.1.61
r_0558	0.023;0.023	EC1.1.1.34;EC1.1.1.34
r_0559	0.415	EC2.3.3.10
r_0560	0.415	EC2.3.3.10
r_0561	0.43;0.43;0.43	EC2.7.1.49 EC2.7.4.7;EC2.7.1.49 EC2.7.4.7;EC2.7.1.49 EC2.7.4.7 EC2.7.1.49 EC2.7.4.7
r_0562	2.6	EC2.4.2.8
r_0563	138	EC2.4.2.- EC4.1.3.-
r_0564	1000	EC4.2.1.19
r_0565	2.46;2.46;2.46	EC1.1.1.205;EC1.1.1.205;EC1.1.1.205
r_0566	11.1	EC4.1.3.27 EC4.1.1.48
r_0567	207;5.4;207	EC4.1.1.1;EC4.1.1.- EC4.1.1.1 EC4.1.1.43 EC4.1.1.74;EC4.1.1.- EC4.1.1.1
r_0568	260	EC3.6.1.1
r_0569	260	EC3.6.1.1
r_0570	8.6;8.6	EC2.1.2.3 EC3.5.4.10;EC2.1.2.3 EC3.5.4.10
r_0571	0.734	EC2.7.1.158
r_0572	12.012	EC2.7.1.151
r_0573	12.012	EC2.7.1.151
r_0574	12.012	EC2.7.1.151
r_0575	12.012	EC2.7.1.151
r_0596	21	EC3.1.4.-
r_0597	21	EC3.1.4.-
r_0598	21	EC3.1.4.-
r_0599	21	EC3.1.4.-
r_0600	21	EC3.1.4.-
r_0601	21	EC3.1.4.-
r_0602	21	EC3.1.4.-
r_0603	21	EC3.1.4.-
r_0604	21	EC3.1.4.-
r_0605	21	EC3.1.4.-
r_0606	21	EC3.1.4.-
r_0607	21	EC3.1.4.-
r_0608	21	EC3.1.4.-
r_0609	21	EC3.1.4.-
r_0610	21	EC3.1.4.-
r_0611	21	EC3.1.4.-
r_0612	21	EC3.1.4.-
r_0613	21	EC3.1.4.-
r_0614	21	EC3.1.4.-
r_0615	21	EC3.1.4.-
r_0616	21	EC3.1.4.-
r_0617	21	EC3.1.4.-
r_0618	21	EC3.1.4.-
r_0619	21	EC3.1.4.-
r_0620	21	EC3.1.4.-
r_0621	21	EC3.1.4.-
r_0622	21	EC3.1.4.-
r_0623	21	EC3.1.4.-
r_0624	21	EC3.1.4.-
r_0625	21	EC3.1.4.-
r_0626	21	EC3.1.4.-
r_0627	21	EC3.1.4.-
r_0628	21	EC3.1.4.-
r_0629	21	EC3.1.4.-
r_0630	21	EC3.1.4.-
r_0631	21	EC3.1.4.-
r_0632	21	EC3.1.4.-
r_0633	21	EC3.1.4.-
r_0634	21	EC3.1.4.-
r_0635	21	EC3.1.4.-
r_0636	21	EC3.1.4.-
r_0637	21	EC3.1.4.-
r_0638	21	EC3.1.4.-
r_0639	21	EC3.1.4.-
r_0640	21	EC3.1.4.-
r_0641	21	EC3.1.4.-
r_0642	21	EC3.1.4.-
r_0643	21	EC3.1.4.-
r_0644	21	EC3.1.4.-
r_0645	21	EC3.1.4.-
r_0646	21	EC3.1.4.-
r_0647	21	EC3.1.4.-
r_0648	21	EC3.1.4.-
r_0649	21	EC3.1.4.-
r_0650	21	EC3.1.4.-
r_0651	21	EC3.1.4.-
r_0652	21	EC3.1.4.-
r_0653	21	EC3.1.4.-
r_0654	21	EC3.1.4.-
r_0655	21	EC3.1.4.-
r_0656	979	EC3.1.-.-
r_0657	979	EC3.1.-.-
r_0658	30	EC1.1.1.41
r_0659	58.3	EC1.1.1.42
r_0661	58.3	EC1.1.1.42
r_0662	8.43	EC4.1.3.1 EC4.1.3.30
r_0663	1075	EC2.6.1.42
r_0664	1075	EC2.6.1.42
r_0665	80.4	EC6.1.1.5
r_0666	80.4	EC6.1.1.5
r_0667	29900	EC5.3.3.2
r_0668	58.8	EC6.2.1.5
r_0669	0.98	EC1.1.1.86
r_0670	0.23	EC3.7.1.3
r_0671	2.03	EC1.14.13.9
r_0672	1.5	EC1.2.1.88
r_0673	1.5	EC1.2.1.88
r_0674	6.09	EC2.6.1.2
r_0675	43	EC4.1.2.48
r_0676	52.8	EC1.1.1.381
r_0678	41.7	EC1.2.1.31 EC1.2.1.95 EC2.7.8.7
