S_cerevisiae	R_toruloides	P_chrysogenum	L_kluyveri	A_terreus	A_oryzae	A_niger	A_nidulans	M_alpina	E_gossypii	K_lactis	Y_lipolytica	K_phaffii	N_crassa
3.1.3.7	3.5.4.26	3.2.1.28		3.1.4.12	3.1.2.1	3.1.3.12	4.6.1.4	3.1.3.46		3.1.1.23	4.4.1.1	4.1.3.21	4.1.3.27
3.1.3.77	3.5.4.3	3.2.1.3		3.1.4.17	3.1.2.12	3.1.3.15	5.1.3.1	3.1.3.5		3.1.1.3	4.4.1.5	4.1.3.27	4.1.3.30
3.1.3.81	3.5.4.6	3.2.1.31		3.1.4.3	3.1.2.14	3.1.3.2	5.1.3.2	3.1.3.62		3.1.1.31	4.4.1.8	4.1.99.12	4.1.3.34
3.1.3.84	3.5.4.9	3.2.1.37		3.1.4.4	3.1.2.4	3.1.3.21	5.1.3.3	3.1.3.66		3.1.1.5	4.6.1.1	4.2.1.1	4.1.3.38
3.1.3.99	3.6.1.1	3.2.1.4		3.1.4.43	3.1.2.6	3.1.3.22	5.2.1.2	3.1.3.67		3.1.2.1	4.6.1.13	4.2.1.10	4.1.3.4
3.1.4.11	3.6.1.10	3.2.1.52		3.1.4.46	3.1.3.1	3.1.3.25	5.3.1.1	3.1.3.7		3.1.2.12	4.99.1.1	4.2.1.109	4.1.3.40
3.1.4.17	3.6.1.11	3.2.1.55		3.1.6.1	3.1.3.11	3.1.3.27	5.3.1.16	3.1.3.74		3.1.2.14	4.99.1.4	4.2.1.11	4.1.99.12
3.1.4.37	3.6.1.13	3.2.1.58		3.2.1.113	3.1.3.12	3.1.3.3	5.3.1.24	3.1.3.77		3.1.2.2	5.1.3.1	4.2.1.17	4.2.1.1
3.1.4.4	3.6.1.19	3.2.1.67		3.2.1.132	3.1.3.15	3.1.3.4	5.3.1.6	3.1.4.11		3.1.2.21	5.1.3.2	4.2.1.19	4.2.1.10
3.1.4.46	3.6.1.22	3.2.1.78		3.2.1.14	3.1.3.2	3.1.3.46	5.3.1.8	3.1.4.12		3.1.2.4	5.3.1.1	4.2.1.2	4.2.1.109
3.1.4.53	3.6.1.23	3.2.1.91		3.2.1.15	3.1.3.21	3.1.3.5	5.3.1.9	3.1.4.14		3.1.2.6	5.3.1.16	4.2.1.20	4.2.1.11
3.1.7.6	3.6.1.29	3.2.2.10		3.2.1.20	3.1.3.22	3.1.3.7	5.3.3.1	3.1.4.17		3.1.3.1	5.3.1.23	4.2.1.22	4.2.1.114
3.2.1.10	3.6.1.31	3.2.2.3		3.2.1.21	3.1.3.25	3.1.3.81	5.3.3.2	3.1.4.4		3.1.3.11	5.3.1.6	4.2.1.24	4.2.1.118
